Config Number,t2,a,w2,t3,w1,t1,Mass (kg),Max Von Mises Stress (MPa),Max Displacement (mm)
181,32,108,160,72,120,40,329.028 kg,3.4444 MPa,0.0274132 mm
182,32,108,160,72,120,50,349.188 kg,3.24745 MPa,0.0236313 mm
183,32,108,160,72,120,60,369.348 kg,2.81167 MPa,0.0204999 mm
184,32,108,160,72,150,40,349.188 kg,3.08591 MPa,0.0247305 mm
185,32,108,160,72,150,50,374.388 kg,2.64541 MPa,0.0211004 mm
186,32,108,160,72,150,60,399.588 kg,2.4139 MPa,0.0184026 mm
187,32,108,160,72,180,40,369.348 kg,2.80328 MPa,0.0227882 mm
188,32,108,160,72,180,50,399.588 kg,2.66049 MPa,0.0193493 mm
189,32,108,160,72,180,60,429.828 kg,2.1298 MPa,0.0168197 mm
190,32,108,200,48,120,40,295.97 kg,10.9662 MPa,0.0379656 mm
191,32,108,200,48,120,50,316.13 kg,9.6232 MPa,0.0320366 mm
192,32,108,200,48,120,60,336.29 kg,5.58891 MPa,0.0250609 mm
193,32,108,200,48,150,40,316.13 kg,8.54759 MPa,0.033959 mm
194,32,108,200,48,150,50,341.33 kg,8.48583 MPa,0.0285592 mm
195,32,108,200,48,150,60,366.53 kg,3.87085 MPa,0.0221135 mm
196,32,108,200,48,180,40,336.29 kg,7.76716 MPa,0.0311182 mm
197,32,108,200,48,180,50,366.53 kg,7.6144 MPa,0.0260745 mm
198,32,108,200,48,180,60,396.77 kg,4.82403 MPa,0.0206267 mm
199,32,108,200,60,120,40,336.29 kg,4.18874 MPa,0.0321743 mm
200,32,108,200,60,120,50,356.45 kg,3.96546 MPa,0.0258758 mm
201,32,108,200,60,120,60,376.61 kg,3.68829 MPa,0.0225091 mm
202,32,108,200,60,150,40,356.45 kg,3.91248 MPa,0.0287955 mm
203,32,108,200,60,150,50,381.65 kg,3.97203 MPa,0.0232724 mm
204,32,108,200,60,150,60,406.85 kg,3.41121 MPa,0.0200582 mm
205,32,108,200,60,180,40,376.61 kg,3.98874 MPa,0.0264348 mm
206,32,108,200,60,180,50,406.85 kg,3.3281 MPa,0.0210853 mm
207,32,108,200,60,180,60,437.09 kg,4.36942 MPa,0.0183582 mm
208,32,108,200,72,120,40,376.61 kg,3.36321 MPa,0.0261873 mm
209,32,108,200,72,120,50,396.77 kg,5.31419 MPa,0.0226067 mm
210,32,108,200,72,120,60,416.93 kg,2.97327 MPa,0.0196565 mm
211,32,108,200,72,150,40,396.77 kg,3.29397 MPa,0.0235905 mm
212,32,108,200,72,150,50,421.97 kg,2.59965 MPa,0.0201904 mm
213,32,108,200,72,150,60,447.17 kg,3.05337 MPa,0.0175859 mm
214,32,108,200,72,180,40,416.93 kg,3.48766 MPa,0.0217122 mm
215,32,108,200,72,180,50,447.17 kg,2.62916 MPa,0.0185027 mm
216,32,108,200,72,180,60,477.41 kg,3.05547 MPa,0.0161115 mm
217,32,108,240,48,120,40,327.424 kg,6.8542 MPa,0.0323217 mm
218,32,108,240,48,120,50,347.584 kg,5.4549 MPa,0.0278837 mm
219,32,108,240,48,120,60,367.744 kg,8.49538 MPa,0.0241843 mm
220,32,108,240,48,150,40,347.584 kg,4.6275 MPa,0.0298312 mm
221,32,108,240,48,150,50,372.784 kg,6.27266 MPa,0.0241243 mm
222,32,108,240,48,150,60,397.984 kg,7.01652 MPa,0.0213794 mm
223,32,108,240,48,180,40,367.744 kg,4.5452 MPa,0.0273173 mm
224,32,108,240,48,180,50,397.984 kg,5.02501 MPa,0.0217303 mm
225,32,108,240,48,180,60,428.224 kg,7.83747 MPa,0.0198322 mm
